word,green_color_num,yellow_color_num,good_word_prob
ocean,550,3078,0.9064935064935065
rayne,1044,2717,0.9064935064935065
yates,775,2887,0.9064935064935065
rimae,953,2788,0.906060606060606
ramie,1052,2689,0.906060606060606
entia,491,3332,0.906060606060606
maire,1250,2491,0.906060606060606
tenia,748,3075,0.906060606060606
aimer,932,2809,0.906060606060606
tinea,868,2955,0.906060606060606
irone,1149,2608,0.9056277056277057
coria,862,2646,0.9056277056277057
salue,1286,2393,0.9056277056277057
trial,999,2703,0.9056277056277057
ouija,557,2152,0.9056277056277057
liart,998,2704,0.9056277056277057
trail,1036,2666,0.9056277056277057
nares,858,3104,0.9051948051948052
reans,872,3090,0.9051948051948052
earns,757,3205,0.9051948051948052
nears,771,3191,0.9051948051948052
saner,1336,2626,0.9051948051948052
snare,1332,2630,0.9051948051948052
togae,1081,2520,0.9051948051948052
anile,1078,2722,0.9047619047619048
elain,867,2933,0.9047619047619048
deair,1029,2784,0.9047619047619048
irade,1100,2713,0.9047619047619048
aired,940,2873,0.9047619047619048
alien,1054,2746,0.9047619047619048
redia,643,3170,0.9047619047619048
liane,1200,2600,0.9047619047619048
aline,1211,2589,0.9047619047619048
aider,946,2867,0.9047619047619048
usnea,567,3015,0.9043290043290043
tales,919,2972,0.9043290043290043
enrol,609,3147,0.9043290043290043
taels,828,3063,0.9043290043290043
loner,1034,2722,0.9043290043290043
aunes,816,2766,0.9043290043290043
setal,1034,2857,0.9043290043290043
salet,1352,2539,0.9043290043290043
leats,811,3080,0.9043290043290043
nerol,728,3028,0.9043290043290043
steal,936,2955,0.9043290043290043
least,1059,2832,0.9043290043290043
tesla,695,3196,0.9043290043290043
stale,1334,2557,0.9043290043290043
slate,1435,2456,0.9043290043290043
stela,844,3047,0.9043290043290043
teals,895,2996,0.9043290043290043
aside,914,2680,0.9038961038961039
paeon,884,2643,0.9038961038961039
aides,770,2824,0.9038961038961039
sieur,1037,2572,0.9038961038961039
ideas,429,3165,0.9038961038961039
saute,1397,2305,0.9038961038961039
rotal,814,2915,0.9034632034632034
opera,492,3323,0.9034632034632034
pareo,984,2831,0.9034632034632034
porae,1169,2646,0.9034632034632034
tolar,915,2814,0.9034632034632034
telos,670,2987,0.9030303030303031
aroid,926,2506,0.9030303030303031
toles,895,2762,0.9030303030303031
lotes,832,2825,0.9030303030303031
radio,701,2731,0.9030303030303031
stole,1270,2387,0.9030303030303031
hoise,1209,2158,0.9030303030303031
elans,797,2974,0.9025974025974026
aloed,1019,2630,0.9025974025974026
neals,783,2988,0.9025974025974026
leans,853,2918,0.9025974025974026
lanes,882,2889,0.9025974025974026
haler,1015,2804,0.9025974025974026
ulnae,955,2655,0.9025974025974026
slane,1477,2294,0.9025974025974026
stear,993,3089,0.9021645021645022
antre,911,3102,0.9021645021645022
stoai,858,2653,0.9021645021645022
aster,797,3285,0.9021645021645022
strae,1190,2892,0.9021645021645022
earnt,974,3039,0.9021645021645022
liner,955,2774,0.9021645021645022
ostia,389,3122,0.9021645021645022
teras,751,3331,0.9021645021645022
stare,1322,2760,0.9021645021645022
rates,875,3207,0.9021645021645022
tears,883,3199,0.9021645021645022
reast,1078,3004,0.9021645021645022
resat,842,3240,0.9021645021645022
earst,963,3119,0.9021645021645022
iotas,623,2888,0.9021645021645022
taser,1063,3019,0.9021645021645022
arets,760,3322,0.9021645021645022
erbia,616,3093,0.9021645021645022
tares,970,3112,0.9021645021645022
loran,822,2787,0.9017316017316017
sayne,1303,2239,0.9017316017316017
yeans,772,2770,0.9017316017316017
larns,772,2781,0.9017316017316017
snarl,1064,2489,0.9017316017316017
aruhe,1023,2607,0.9012987012987013
moira,866,2494,0.9012987012987013
amies,798,2724,0.9012987012987013
moria,771,2589,0.9012987012987013
maise,1271,2251,0.9012987012987013
luter,913,2746,0.9008658008658008
morae,1135,2633,0.9008658008658008
olein,706,2860,0.9004329004329005
eloin,803,2763,0.9004329004329005
poise,1281,2054,0.9004329004329005
helio,638,2757,0.9004329004329005
hayer,932,2658,0.9004329004329005
acute,908,2623,0.9
locie,1004,2460,0.9
solar,1131,2547,0.9
oaker,887,2785,0.9
soral,1125,2553,0.9
lenos,633,2904,0.9
noels,692,2845,0.9
oleic,607,2857,0.9
losen,895,2642,0.9
noles,783,2754,0.9
enols,600,2937,0.9
orals,813,2865,0.9
yores,803,2793,0.8995670995670996
oyers,426,3170,0.8995670995670996
eclat,639,3081,0.8991341991341991
cleat,990,2730,0.8991341991341991
abies,776,2714,0.8991341991341991
soyle,1259,2146,0.8991341991341991
toyer,988,2659,0.8991341991341991
lacet,1018,2702,0.8991341991341991
sepia,884,2685,0.8987012987012987
aspie,794,2775,0.8987012987012987
paise,1305,2264,0.8987012987012987
orgia,596,2765,0.8982683982683982
roule,1136,2528,0.8982683982683982
lento,663,2925,0.8982683982683982
loure,1105,2559,0.8982683982683982
olent,853,2735,0.8982683982683982
lehua,482,2957,0.8978354978354979
korai,636,2628,0.8978354978354979
noser,927,2801,0.8978354978354979
seron,1031,2697,0.8978354978354979
senor,1087,2641,0.8978354978354979
pieta,722,2898,0.8978354978354979
rones,877,2851,0.8978354978354979
eyots,513,2915,0.8978354978354979
aegis,642,2881,0.8978354978354979
snore,1268,2460,0.8978354978354979
oners,491,3237,0.8978354978354979
renos,652,3076,0.8978354978354979
slyer,1124,2444,0.8974025974025974
scrae,1153,2707,0.8974025974025974
races,820,3040,0.8974025974025974
afire,987,2662,0.8974025974025974
serac,962,2898,0.8974025974025974
feria,760,2889,0.8974025974025974
scare,1285,2575,0.8974025974025974
escar,518,3342,0.8974025974025974
lyres,626,2942,0.8974025974025974
loirs,819,2598,0.8974025974025974
carse,1259,2601,0.8974025974025974
roils,850,2567,0.8974025974025974
cares,1019,2841,0.8974025974025974
loris,724,2693,0.8974025974025974
acers,543,3317,0.8974025974025974
hause,1132,2279,0.8974025974025974
acres,697,3163,0.8974025974025974
share,1389,2402,0.896969696969697
shear,1060,2731,0.896969696969697
rheas,625,3166,0.896969696969697
hares,890,2901,0.896969696969697
hears,803,2988,0.896969696969697
ileac,604,3094,0.896969696969697
alowe,1031,2441,0.896969696969697
stane,1354,2440,0.8965367965367965
antes,692,3102,0.8965367965367965
nates,806,2988,0.8965367965367965
stean,911,2883,0.8965367965367965
eidos,516,2844,0.8965367965367965
etnas,484,3310,0.8965367965367965
neats,761,3033,0.8965367965367965
entry,784,2738,0.8965367965367965
yrent,885,2637,0.8965367965367965
oaken,805,2579,0.8965367965367965
mahoe,975,2334,0.8965367965367965
afore,964,2712,0.8961038961038961
heals,815,2785,0.8956709956709956
selah,1017,2583,0.8956709956709956
leash,943,2657,0.8956709956709956
nairu,758,2635,0.8956709956709956
shale,1401,2199,0.8956709956709956
sheal,1003,2597,0.8956709956709956
royne,1020,2507,0.8956709956709956
oared,944,2896,0.8956709956709956
oread,765,3075,0.8956709956709956
adore,976,2864,0.8956709956709956
hales,839,2761,0.8956709956709956
halse,1079,2521,0.8956709956709956
pioye,1011,2123,0.8956709956709956
onery,819,2708,0.8956709956709956
lyase,1010,2629,0.8952380952380953
yales,776,2863,0.8952380952380953
hoaed,1092,2289,0.8952380952380953
yeahs,618,2753,0.8952380952380953
anode,962,2590,0.8952380952380953
cause,1261,2219,0.8948051948051948
oaves,748,2651,0.8948051948051948
resin,715,2986,0.8948051948051948
siren,1177,2524,0.8948051948051948
riyal,653,2797,0.8948051948051948
soave,1420,1979,0.8948051948051948
risen,835,2866,0.8948051948051948
rinse,1038,2663,0.8948051948051948
sauce,1407,2073,0.8948051948051948
serin,1057,2644,0.8948051948051948
bosie,1114,2142,0.8948051948051948
aweto,559,2936,0.8948051948051948
reins,831,2870,0.8948051948051948
slart,1275,2398,0.8948051948051948
rines,798,2903,0.8948051948051948
lairy,1171,2279,0.8948051948051948
roset,1037,2811,0.8943722943722944
lirot,836,2632,0.8943722943722944
store,1258,2590,0.8943722943722944
tores,946,2902,0.8943722943722944
certy,1106,2314,0.8943722943722944
rotes,851,2997,0.8943722943722944
estro,407,3441,0.8943722943722944
torse,1186,2662,0.8943722943722944
resto,625,3223,0.8943722943722944
triol,969,2499,0.8943722943722944
tiers,713,3108,0.8939393939393939
stire,1281,2540,0.8939393939393939
tries,1036,2785,0.8939393939393939
tires,867,2954,0.8939393939393939
ranis,741,2813,0.8939393939393939
rains,894,2660,0.8939393939393939
airns,722,2832,0.8939393939393939
naris,698,2856,0.8939393939393939
ethal,475,3176,0.8939393939393939
reist,1037,2784,0.8939393939393939
rites,772,3049,0.8939393939393939
sarin,1120,2434,0.8939393939393939
ricey,1045,2353,0.8939393939393939
resit,838,2983,0.8939393939393939
lathe,953,2698,0.8939393939393939
thale,1185,2466,0.8939393939393939
cater,1143,2768,0.8935064935064935
recta,606,3305,0.8935064935064935
noyes,700,2608,0.8935064935064935
trace,1296,2615,0.8935064935064935
telco,710,2776,0.8935064935064935
cosey,1240,1966,0.8935064935064935
zoeas,658,2628,0.8935064935064935
react,1057,2854,0.8935064935064935
aloin,871,2548,0.8935064935064935
crate,1335,2576,0.8935064935064935
carte,1228,2683,0.8935064935064935
clote,1204,2282,0.8935064935064935
nosey,1079,2229,0.8935064935064935
caret,1236,2675,0.8935064935064935
aidos,584,2629,0.893073593073593
coles,944,2491,0.893073593073593
cameo,939,2439,0.893073593073593
rouse,1145,2491,0.893073593073593
eniac,618,2983,0.893073593073593
close,1235,2200,0.893073593073593
socle,1286,2149,0.893073593073593
moire,1226,2281,0.893073593073593
adios,594,2619,0.893073593073593
euros,588,3048,0.893073593073593
comae,1124,2254,0.893073593073593
dosai,644,2569,0.893073593073593
roues,905,2731,0.893073593073593
hilar,756,2655,0.893073593073593
caste,1145,2547,0.8926406926406927
resty,931,2660,0.8926406926406927
ohias,649,2571,0.8926406926406927
treys,632,2959,0.8926406926406927
styre,1044,2547,0.8926406926406927
taces,863,2829,0.8926406926406927
sceat,997,2695,0.8926406926406927
tyers,534,3057,0.8926406926406927
beano,961,2487,0.8926406926406927
obeah,533,2744,0.8926406926406927
cesta,722,2970,0.8926406926406927
bohea,843,2434,0.8926406926406927
cates,967,2725,0.8926406926406927
uraos,775,2714,0.8926406926406927
urite,1129,2531,0.8926406926406927
tyres,688,2903,0.8926406926406927
uteri,448,3212,0.8926406926406927
lures,789,2819,0.8922077922077922
argue,979,2573,0.8922077922077922
luser,882,2726,0.8922077922077922
recal,720,3168,0.8922077922077922
carle,1250,2638,0.8922077922077922
auger,922,2630,0.8922077922077922
kiore,1037,2374,0.8922077922077922
agone,999,2482,0.8922077922077922
rugae,943,2609,0.8922077922077922
tegua,602,2782,0.8922077922077922
leany,1181,2389,0.8922077922077922
clear,949,2939,0.8922077922077922
genoa,688,2793,0.8922077922077922
lacer,977,2911,0.8922077922077922
rules,757,2851,0.8922077922077922
pareu,927,2671,0.8922077922077922
taupe,1091,2339,0.8917748917748918
hyena,513,2789,0.8917748917748918
relic,648,2979,0.8917748917748918
email,730,2820,0.8917748917748918
maile,1262,2288,0.8917748917748918
syren,998,2473,0.8917748917748918
toney,1248,2111,0.8913419913419913
abore,972,2764,0.8913419913419913
onely,831,2505,0.8913419913419913
ovate,926,2524,0.8913419913419913
enact,869,2754,0.8913419913419913
oases,779,2521,0.8909090909090909
laevo,671,2756,0.8909090909090909
pilae,1039,2558,0.8909090909090909
volae,1020,2407,0.8909090909090909
loave,1142,2285,0.8909090909090909
moile,1238,2078,0.8909090909090909
nirls,599,2693,0.8909090909090909
rahui,512,2710,0.8909090909090909
pilea,835,2762,0.8909090909090909
herls,671,2858,0.8904761904761904
lehrs,523,3006,0.8904761904761904
kaies,944,2482,0.8904761904761904
ideal,548,3074,0.8904761904761904
poake,1206,1975,0.8904761904761904
eliad,818,2804,0.8904761904761904
coati,936,2404,0.8904761904761904
ailed,889,2733,0.8904761904761904
rueda,600,3023,0.8904761904761904
psoai,573,2615,0.8904761904761904
loipe,1106,2257,0.8904761904761904
score,1221,2405,0.8900432900432901
cores,995,2631,0.8900432900432901
ousel,779,2666,0.8900432900432901
ceros,770,2856,0.8900432900432901
outre,910,2777,0.8900432900432901
ultra,557,2955,0.8900432900432901
louse,1126,2319,0.8900432900432901
haute,1101,2361,0.8900432900432901
azole,970,2344,0.8900432900432901
waite,1215,2253,0.8900432900432901
corse,1235,2391,0.8900432900432901
eusol,624,2821,0.8900432900432901
tawie,1060,2408,0.8900432900432901
outer,867,2820,0.8900432900432901
route,1114,2573,0.8900432900432901
zoeal,777,2537,0.8900432900432901
alecs,703,2966,0.8896103896103896
usage,855,2478,0.8896103896103896
seton,979,2581,0.8896103896103896
cires,916,2683,0.8896103896103896
nerts,617,3106,0.8896103896103896
tirls,711,2701,0.8896103896103896
cries,1085,2514,0.8896103896103896
lepta,588,3031,0.8896103896103896
stone,1290,2270,0.8896103896103896
tones,920,2640,0.8896103896103896
tepal,764,2855,0.8896103896103896
rents,660,3063,0.8896103896103896
agues,670,2663,0.8896103896103896
obias,521,2588,0.8896103896103896
leapt,938,2681,0.8896103896103896
terns,771,2952,0.8896103896103896
onset,779,2781,0.8896103896103896
scale,1297,2372,0.8896103896103896
pelta,697,2922,0.8896103896103896
palet,1128,2491,0.8896103896103896
laces,801,2868,0.8896103896103896
crise,1325,2274,0.8896103896103896
steno,859,2701,0.8896103896103896
stern,899,2824,0.8896103896103896
rices,717,2882,0.8896103896103896
erics,791,2808,0.8896103896103896
plate,1211,2408,0.8896103896103896
youse,1045,2171,0.8896103896103896
claes,1059,2610,0.8896103896103896
notes,782,2778,0.8896103896103896
petal,810,2809,0.8896103896103896
icers,437,3162,0.8896103896103896
seric,958,2641,0.8896103896103896
pleat,933,2686,0.8896103896103896
dears,845,2939,0.8891774891774892
urine,1171,2369,0.8891774891774892
rased,926,2858,0.8891774891774892
inure,859,2681,0.8891774891774892
trona,904,2728,0.8891774891774892
orant,1050,2582,0.8891774891774892
reads,759,3025,0.8891774891774892
sared,1268,2516,0.8891774891774892
ceorl,987,2667,0.8891774891774892
rotan,789,2843,0.8891774891774892
eards,644,3140,0.8891774891774892
rotls,695,2744,0.8891774891774892
toran,884,2748,0.8891774891774892
dares,932,2852,0.8891774891774892
arsed,923,2861,0.8891774891774892
canes,993,2579,0.8887445887445887
hanse,1104,2399,0.8887445887445887
hayle,987,2412,0.8887445887445887
amine,1049,2404,0.8887445887445887
ashen,613,2890,0.8887445887445887
patio,772,2467,0.8887445887445887
azote,948,2389,0.8887445887445887
acnes,671,2901,0.8887445887445887
corey,1323,2102,0.8887445887445887
delta,667,2977,0.8887445887445887
anime,984,2469,0.8887445887445887
scena,827,2745,0.8887445887445887
dealt,1074,2570,0.8887445887445887
peaty,1193,2197,0.8887445887445887
lated,938,2706,0.8887445887445887
minae,1030,2423,0.8887445887445887
coyer,1037,2388,0.8887445887445887
toaze,1179,2158,0.8887445887445887
lunar,783,2609,0.8883116883116883
coley,1272,1962,0.8883116883116883
owies,705,2478,0.8883116883116883
lyart,819,2653,0.8883116883116883
ulnar,744,2648,0.8883116883116883
urnal,754,2638,0.8883116883116883
cloye,1067,2167,0.8883116883116883
holey,1143,2022,0.8878787878787879
horal,829,2609,0.8878787878787879
royal,732,2745,0.8878787878787879
hoyle,963,2202,0.8878787878787879
noter,958,2821,0.8874458874458875
cotes,943,2515,0.8874458874458875
trone,1264,2515,0.8874458874458875
tarsi,798,2876,0.8874458874458875
coste,1121,2337,0.8874458874458875
astir,637,3037,0.8874458874458875
toner,1096,2683,0.8874458874458875
hotel,933,2484,0.8874458874458875
escot,529,2929,0.8874458874458875
artis,712,2962,0.8874458874458875
tiars,843,2831,0.8874458874458875
tenor,871,2908,0.8874458874458875
estoc,362,3096,0.8874458874458875
coset,1129,2329,0.8874458874458875
stria,826,2848,0.8874458874458875
roans,911,2670,0.8874458874458875
thole,1121,2296,0.8874458874458875
arson,749,2832,0.8874458874458875
ronte,1086,2693,0.8874458874458875
raits,852,2822,0.8874458874458875
stair,1119,2555,0.8874458874458875
helot,807,2610,0.8874458874458875
airts,680,2994,0.8874458874458875
sonar,1156,2425,0.8874458874458875
sitar,1051,2623,0.8874458874458875
metal,776,2796,0.8874458874458875
sural,1030,2431,0.8874458874458875
earth,816,3026,0.887012987012987
rages,831,2882,0.887012987012987
sarge,1331,2382,0.887012987012987
sheol,973,2393,0.887012987012987
zaire,1146,2332,0.887012987012987
hosel,902,2464,0.887012987012987
gears,849,2864,0.887012987012987
rathe,972,2870,0.887012987012987
holes,815,2551,0.887012987012987
heart,1020,2822,0.887012987012987
thrae,1041,2801,0.887012987012987
sager,1266,2447,0.887012987012987
hater,1014,2828,0.887012987012987
helos,590,2776,0.887012987012987
segar,1047,2666,0.887012987012987
agers,514,3199,0.887012987012987
gares,936,2777,0.887012987012987
stade,1241,2375,0.8865800865800866
touse,1188,2280,0.8865800865800866
tased,969,2647,0.8865800865800866
tsade,964,2652,0.8865800865800866
lieus,583,2835,0.8865800865800866
ileus,529,2889,0.8865800865800866
dates,880,2736,0.8865800865800866
sated,1216,2400,0.8865800865800866
teads,802,2814,0.8865800865800866
stead,899,2717,0.8865800865800866
caner,1169,2622,0.8861471861471861
crena,887,2904,0.8861471861471861
agile,1002,2549,0.8861471861471861
curie,1127,2311,0.8861471861471861
nacre,970,2821,0.8861471861471861
ureic,666,2772,0.8861471861471861
aiver,920,2671,0.8861471861471861
vaire,1186,2405,0.8861471861471861
cetyl,708,2521,0.8861471861471861
crane,1377,2414,0.8861471861471861
rance,1120,2671,0.8861471861471861
aglet,834,2739,0.8861471861471861
airer,1034,2469,0.8857142857142857
intra,445,3160,0.8857142857142857
curia,767,2524,0.8857142857142857
auric,677,2614,0.8857142857142857
matey,1204,2139,0.8857142857142857
omega,395,2836,0.8857142857142857
riant,1049,2556,0.8857142857142857
paedo,749,2600,0.8857142857142857
rotas,695,3006,0.8857142857142857
aerie,1125,2490,0.8857142857142857
taros,784,2917,0.8857142857142857
train,1011,2594,0.8857142857142857
sorta,1011,2690,0.8857142857142857
toras,790,2911,0.8857142857142857
apode,936,2413,0.8857142857142857
cauri,828,2463,0.8857142857142857
ratos,689,3012,0.8857142857142857
meaty,1159,2184,0.8857142857142857
etyma,309,3034,0.8857142857142857
roast,1117,2584,0.8857142857142857
lepra,598,3189,0.8852813852813853
tuyer,893,2537,0.8852813852813853
parle,1193,2594,0.8852813852813853
repla,629,3158,0.8852813852813853
paler,1087,2700,0.8852813852813853
pearl,994,2793,0.8852813852813853
pilao,674,2542,0.8852813852813853
apiol,754,2462,0.8852813852813853
rioja,615,2474,0.8852813852813853
paoli,861,2355,0.8852813852813853
tubae,975,2376,0.8848484848484849
taube,1065,2286,0.8848484848484849
diane,1224,2301,0.8848484848484849
pelau,657,2750,0.8848484848484849
daine,1286,2239,0.8848484848484849
beaut,1056,2295,0.8848484848484849
crias,929,2523,0.8848484848484849
meril,824,2655,0.8848484848484849
miler,950,2529,0.8848484848484849
pater,1086,2724,0.8844155844155844
arish,981,2402,0.8844155844155844
onces,538,2800,0.8844155844155844
sonce,1355,1983,0.8844155844155844
peart,1092,2718,0.8844155844155844
cones,969,2369,0.8844155844155844
rouen,999,2568,0.8844155844155844
taper,1040,2770,0.8844155844155844
beaty,1225,2086,0.8844155844155844
cadie,1158,2265,0.8844155844155844
trape,1196,2614,0.8844155844155844
rupia,569,2621,0.8844155844155844
agios,585,2557,0.8844155844155844
feuar,915,2544,0.8844155844155844
apter,842,2968,0.8844155844155844
apert,781,3029,0.8844155844155844
petar,867,2943,0.8844155844155844
hairs,825,2558,0.8844155844155844
prate,1278,2532,0.8844155844155844
scone,1253,2085,0.8844155844155844
daris,772,2604,0.883982683982684
riads,719,2657,0.883982683982684
derat,930,2905,0.883982683982684
raids,781,2595,0.883982683982684
tapen,958,2564,0.883982683982684
tread,873,2962,0.883982683982684
dolia,724,2517,0.883982683982684
trade,1215,2620,0.883982683982684
utile,961,2508,0.883982683982684
ulyie,843,2374,0.883982683982684
rated,957,2878,0.883982683982684
tared,1052,2783,0.883982683982684
paten,1004,2518,0.883982683982684
dater,1056,2779,0.883982683982684
tuile,1185,2284,0.883982683982684
orixa,640,2459,0.883982683982684
ouens,621,2727,0.883982683982684
ixora,504,2595,0.883982683982684
idola,522,2719,0.883982683982684
diota,758,2506,0.883982683982684
asper,743,3016,0.8835497835497835
trine,1287,2465,0.8835497835497835
goier,1191,2317,0.8835497835497835
spare,1306,2453,0.8835497835497835
yowie,893,2089,0.8835497835497835
rapes,821,2938,0.8835497835497835
tiles,816,2814,0.8835497835497835
spaer,1263,2496,0.8835497835497835
mares,928,2784,0.8835497835497835
lites,753,2877,0.8835497835497835
inter,762,2990,0.8835497835497835
parse,1202,2557,0.8835497835497835
inert,701,3051,0.8835497835497835
pears,875,2884,0.8835497835497835
smear,954,2758,0.8835497835497835
niter,879,2873,0.8835497835497835
reaps,740,3019,0.8835497835497835
teils,854,2776,0.8835497835497835
stile,1293,2337,0.8835497835497835
apers,564,3195,0.8835497835497835
steil,932,2698,0.8835497835497835
nitre,922,2830,0.8835497835497835
prase,1309,2450,0.8835497835497835
pares,962,2797,0.8835497835497835
reams,758,2954,0.8835497835497835
maser,1021,2691,0.8835497835497835
istle,746,2884,0.8835497835497835
islet,733,2897,0.8835497835497835
presa,819,2940,0.8835497835497835
spear,977,2782,0.8835497835497835
marse,1168,2544,0.8835497835497835
apres,718,3041,0.8835497835497835
lamer,982,2758,0.8831168831168831
glare,1195,2546,0.8831168831168831
maerl,893,2847,0.8831168831168831
lader,996,2816,0.8831168831168831
oldie,897,2491,0.8831168831168831
large,1053,2688,0.8831168831168831
arled,955,2857,0.8831168831168831
lager,988,2753,0.8831168831168831
regal,731,3010,0.8831168831168831
enlit,682,2879,0.8831168831168831
lenti,616,2945,0.8831168831168831
intel,705,2856,0.8831168831168831
realm,858,2882,0.8831168831168831
elint,973,2588,0.8831168831168831
alder,945,2867,0.8831168831168831
opine,973,2293,0.8831168831168831
inlet,804,2757,0.8831168831168831
oiled,790,2598,0.8831168831168831
argle,1059,2682,0.8831168831168831
marle,1159,2581,0.8831168831168831
metol,746,2592,0.8826839826839827
latke,980,2496,0.8826839826839827
oaked,793,2413,0.8826839826839827
amice,1017,2334,0.8826839826839827
seity,1376,2025,0.8826839826839827
alkie,933,2521,0.8826839826839827
lacey,1129,2339,0.8826839826839827
yites,672,2729,0.8826839826839827
lycea,546,2922,0.8826839826839827
alike,1084,2370,0.8826839826839827
motel,971,2367,0.8826839826839827
monie,1105,2114,0.8826839826839827
yetis,552,2849,0.8826839826839827
yarto,671,2829,0.8822510822510823
